Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal ,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 444263,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444264,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444265,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444266,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444267,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444268,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444269,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444270,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444271,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444272,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",2187,49815,49815,,,,131
Pedido 444273,10/4/2026,A02018,GUADALUPE GARCIA MARTINEZ (REM),GUADALUPE GARCIA MARTINEZ (REM),CISAALMA,3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,CENTRO - CD. HIDALGO,Suchiate,San Caralampio,30840,,Chiapas,"3 AV NORTE ENTRE PASO DEL PALENQUE Y P LIMON,Suchiate,San Caralampio,,Chiapas,30840",1620,36900,36900,,,,131
Pedido 443111,14/3/2026,A02040,CORPORACION SANCHEZ,MACUSPANA,CISAALMA,"PASEO JOSE NARCISO ROVIROSA S/N, ESQ. NIÑOS HEROES",NICOLÁS BRAVO - MACUSPANA,Macuspana,Nicolás Bravo,86700,,Tabasco,"PASEO JOSE NARCISO ROVIROSA S/N, ESQ. NIÑOS HEROES,Macuspana,Nicolás Bravo,,Tabasco,86700","682,5",20493,20493,4502872376-MACUSPANA,,TABASCO,603
