Movimiento,Fecha Emisión,Cliente,Nombre,Nombre Sucursal ,Almacén,Dirección,Observaciones,Delegación,Colonia,Código Postal,Población,Estado,Dirección Completa,Peso,Importe Total,Saldo,Referencia,Observaciones Horarios y/o citas,Ruta,Agente
Pedido 444088,8/4/2026,A04358,TIENDAS LORES,TIENDAS LORES (PROLONGACION INDEPENDENCIA),CISAALMA,AV PROLONGACION INDEPENDENCIA S/N ESQ CALLE 3,OAXACA - SAN JUAN BAUTISTA,San Juan Bautista Tuxtepec,Oaxaca,68373,San Juan Bautista Tuxtepec,Oaxaca,"AV PROLONGACION INDEPENDENCIA S/N ESQ CALLE 3,San Juan Bautista Tuxtepec,Oaxaca,San Juan Bautista Tuxtepec,Oaxaca,68373","786,36","19200,2",500, ,,TUXTEPEC,101
Pedido 443923,1/4/2026,A04374,PROFESIONALES EN COMIDAS INDUSTRIALES,PROFESIONALES EN COMIDAS INDUSTRIALES,CISAALMA,CALLE 20 SUR NUM 4103,EL MIRADOR-PUEBLA,Puebla,El Mirador,72530,Puebla (Heroica Puebla),Puebla,"CALLE 20 SUR NUM 4103,Puebla,El Mirador,Puebla (Heroica Puebla),Puebla,72530","7628,7",151950,151950,*DESC COMERC -2%- CITA 13ABR 8AM.,CITA 20/04/2026   8:00 AM,PUEBLA,154
Pedido 444147,8/4/2026,A04380,TIENDAS LORES,TIENDAS LORES (ISLA 2),CISAALMA,AV FLORES MAGON S/N,CENTRO - ISLA,Isla,Isla Centro,95640,Isla,Veracruz,"AV FLORES MAGON S/N,Isla,Isla Centro,Isla,Veracruz,95640","1548,18","35011,4",500, ,,TUXTEPEC,101
Pedido 444180,8/4/2026,A04395,FUNDACION DE BENEFICENCIA PRIVADA BANCO DE ALIMENTOS CARITAS PUEBLA,FUNDACION DE BENEFICENCIA PRIVADA BANCO DE ALIMENTOS CARITAS PUEBLA,CISAALMA,CALLE CAMINO VIEJO A TLAXCALA NUM 209,SN FCO OCOTLAN-CORONANGO,Coronango,San Francisco Ocotlán,72680,,Puebla,"CALLE CAMINO VIEJO A TLAXCALA NUM 209,Coronango,San Francisco Ocotlán,,Puebla,72680",500,9250,9250,*DONATIVO.,,PUEBLA,101
Pedido 443945,2/4/2026,A04446,MIGUEL ANGEL DE LA CRUZ DOMINGUEZ (REM),MIGUEL ANGEL DE LA CRUZ DOMINGUEZ (REM),CISAALMA,20 DE NOVIEMBRE 312,LAS TINAS JALTIPAN,Jáltipan,Las Tinas,96220,Jáltipan de Morelos,Veracruz,"20 DE NOVIEMBRE 312,Jáltipan,Las Tinas,Jáltipan de Morelos,Veracruz,96220",3100,80735,80735,entrega en la bodega de Maricela,RECIBO DE 8:00 AM A 6:00 PM,TABASCO,226
Pedido 443956,5/4/2026,A04483,LUIS FERNANDO VENTURA ALVAREZ,LUIS FERNANDO VENTURA ALVAREZ,CISAALMA,CALLE LA FLORESTA INT CENTRAL D BOD 6,LA FLORESTA-TUXTLA GUTIERREZ,Tuxtla Gutiérrez,La Floresta,29045,Tuxtla Gutiérrez,Chiapas,"CALLE LA FLORESTA INT CENTRAL D BOD 6,Tuxtla Gutiérrez,La Floresta,Tuxtla Gutiérrez,Chiapas,29045",1000,20625,20625,,RECIBO DE 7:00 AM A 10:00 AM,CHIAPAS COSTA,249
Pedido 444150,8/4/2026,A04506,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA 7),CISAALMA,CALLE JOSEFA ORTIZ DE DOMINGUEZ NUM 122,SANTA LUCRECIA-TIERRA BLANCA,Tierra Blanca,Santa Lucrecia,95170,Tierra Blanca,Veracruz,"CALLE JOSEFA ORTIZ DE DOMINGUEZ NUM 122,Tierra Blanca,Santa Lucrecia,Tierra Blanca,Veracruz,95170","802,66","19565,2",1000, ,,TIERRA BLANCA,101
Pedido 444151,8/4/2026,A04520,TIENDAS LORES,TIENDAS LORES (TIERRA BLANCA 6),CISAALMA,CALLE PORFIRIO DIAZ NUM 502,TORREON TIERRA BLANCA,Tierra Blanca,Torreón,95120,Tierra Blanca,Veracruz,"CALLE PORFIRIO DIAZ NUM 502,Tierra Blanca,Torreón,Tierra Blanca,Veracruz,95120",811,18744,1000, ,,TIERRA BLANCA,101
Pedido 444152,8/4/2026,A04532,TIENDAS LORES,TIENDAS LORES (SANTIAGO TUXTLA 2),CISAALMA,CALLE PROLONGACION LOS LIBRES ESQ. CALLE ORO NUM 535,PEDREGAL SANTIAGO TUXTLA,Santiago Tuxtla,Pedregal,95833,Santiago Tuxtla,Veracruz,"CALLE PROLONGACION LOS LIBRES ESQ. CALLE ORO NUM 535,Santiago Tuxtla,Pedregal,Santiago Tuxtla,Veracruz,95833",305,7058,500, ,,LOS TUXTLAS,101
Pedido 444153,8/4/2026,A04546,TIENDAS LORES,TIENDAS LORES (TRES VALLES LAS ABEJAS),CISAALMA,CALLE EMILIANO ZAPATA NUM 530,TRES VALLES CENTRO,Tres Valles,3 Valles Centro,95300,Tres Valles,Veracruz,"CALLE EMILIANO ZAPATA NUM 530,Tres Valles,3 Valles Centro,Tres Valles,Veracruz,95300",843,18617,500, ,,TIERRA BLANCA,101
Pedido 444323,7/4/2026,A04550,ABARROTES LA VIOLETA,ABARROTES LA VIOLETA,CISAALMA,CALLE SALVADOR AZUELA NUM 210,ELIAS PEREZ AVALOS-MORELIA,Morelia,Elias Perez Avalos,58218,Morelia,Michoacán,"CALLE SALVADOR AZUELA NUM 210,Morelia,Elias Perez Avalos,Morelia,Michoacán,58218",4963,206220,206220,,,,253
Pedido 444071,8/4/2026,A04621,FORTALEZA Y VIDA PARA TI,FORTALEZA Y VIDA PARA TI,CISAALMA,AV. REVOLUCION NUM 614,CENTRO-BOCA DEL RIO,Boca del Río,Boca del Río Centro,94290,Boca del RÍo,Veracruz,"AV. REVOLUCION NUM 614,Boca del Río,Boca del Río Centro,Boca del RÍo,Veracruz,94290",10,210,210,*DONATIVO.,,VERACRUZ PUERTO,101
Pedido 444156,8/4/2026,A04623,TIENDAS LORES,TIENDAS LORES (VILLA URSULO GALVAN),CISAALMA,CALLE MIGUEL ALEMAN 535,VILLA URSULO GALVAN-URSULO GALVAN,Ursulo Galván,Villa Úrsulo Galvan,91667,,Veracruz,"CALLE MIGUEL ALEMAN 535,Ursulo Galván,Villa Úrsulo Galvan,,Veracruz,91667","355,9",7514,500, ,,,101
Pedido 444159,8/4/2026,A04667,TIENDAS LORES,TIENDAS LORES ISLA 3,CISAALMA,AV RAUL SANDOVAL 23,ISLA CENTRO-ISLA,Isla,Isla Centro,95640,Isla,Veracruz,"AV RAUL SANDOVAL 23,Isla,Isla Centro,Isla,Veracruz,95640","1948,3",44030,500, ,,LOMA BONITA,101
Pedido 443893,31/3/2026,A04672,RAUL FLORES SILVA (REM),RAUL FLORES SILVA (REM),CISAALMA,NAVE 2 BODEGA 9 CENTRAL DE AB,CARRIZAL-VILLAHERMOSA,Centro,Carrizal,86108,Villahermosa,Tabasco,"NAVE 2 BODEGA 9 CENTRAL DE AB,Centro,Carrizal,Villahermosa,Tabasco,86108",1470,45864,45864,,RECIBO DE 7:00 AM A 3:00 PM,,200
Pedido 444160,8/4/2026,A04680,TIENDAS LORES,TIENDAS LORES CARRILLO 2,CISAALMA,BLVD MIGUEL ALEMAN NUM 346,PAPELERA-CARLOS A CARRILLO,Carlos A. Carrillo,Papelera,95342,Carlos A. Carrillo,Veracruz,"BLVD MIGUEL ALEMAN NUM 346,Carlos A. Carrillo,Papelera,Carlos A. Carrillo,Veracruz,95342","1648,78","35955,4",500, ,,COSAMALOAPAN,101
Pedido 444161,8/4/2026,A04684,TIENDAS LORES,TIENDAS LORES JAMAPA,CISAALMA,AV. ORIENTE 1 LOTE 7-A MZA 7,JAMAPA,Jamapa,Jamapa,94260,,Veracruz,"AV. ORIENTE 1 LOTE 7-A MZA 7,Jamapa,Jamapa,,Veracruz,94260","526,1",12329,500, ,,PIEDRAS NEGRAS,101
Pedido 444162,8/4/2026,A04694,TIENDAS LORES,TIENDAS LORES LERDO DE TEJADA 2,CISAALMA,CARR FEDERAL VERACRUZ NUM 281,CENTRO-LERDO DE TEJADA,Lerdo de Tejada,Lerdo de Tejada Centro,95280,Lerdo de Tejada,Veracruz,"CARR FEDERAL VERACRUZ NUM 281,Lerdo de Tejada,Lerdo de Tejada Centro,Lerdo de Tejada,Veracruz,95280","695,08","15865,4",500, ,,LOS TUXTLAS,101
Pedido 444181,7/4/2026,A04725,SERGIO CANAVATI GONZALEZ,SERGIO CANAVATI GONZALEZ,CISAALMA,CALLE RIO ORINOCO 410,SAN PEDRO GARZA-NUEVO LEON,San Pedro Garza García,Del Valle,66220,San Pedro Garza García,Nuevo León,"CALLE RIO ORINOCO 410,San Pedro Garza García,Del Valle,San Pedro Garza García,Nuevo León,66220",1000,26280,26280,*RECIBO DE 8AM- 5PM.,,NUEVO LEON,154
Pedido 443924,1/4/2026,A04762,GELATINAS Y CONGELADOS RA CORONA,GELATINAS Y CONGELADOS RA CORONA,CISAALMA,CALLE ORIENTE 27 NUM 573,SAN CARLOS-ORIZABA,Orizaba,Empleados Moctezuma,94320,Orizaba,Veracruz,"CALLE ORIENTE 27 NUM 573,Orizaba,Empleados Moctezuma,Orizaba,Veracruz,94320",1750,34500,34500,*TARJETA.,,ORIZABA,154
Pedido 444163,8/4/2026,A04821,TIENDAS LORES,TIENDAS LORES GABINO,CISAALMA,AV ADOLFO LOPEZ MATEOS LOTE 9,CENTRO-GABINO,Cosamaloapan de Carpio,Gabino Barreda,95429,,Veracruz,"AV ADOLFO LOPEZ MATEOS LOTE 9,Cosamaloapan de Carpio,Gabino Barreda,,Veracruz,95429","1660,4",37078,1000, ,,COSAMALOAPAN,101
Pedido 444166,8/4/2026,A04840,TIENDAS LORES,TIENDAS LORES RODRIGUEZ CLARA 2,CISAALMA,BOULEVARD SR SALVADOR NAVARRETE GOMEZ NUM 42,BENITO JUAREZ-RODRIGUEZ CLARA,Juan Rodríguez Clara,Benito Juárez,95300,Juan Rodríguez Clara,Veracruz,"BOULEVARD SR SALVADOR NAVARRETE GOMEZ NUM 42,Juan Rodríguez Clara,Benito Juárez,Juan Rodríguez Clara,Veracruz,95300","1284,3",29162,1242, ,,LOMA,101
Pedido 444065,6/4/2026,A04877,KARINA MELGAREJO GONZALEZ (REM),KARINA MELGAREJO GONZALEZ (REM),CISAALMA,JUAREZ 102 MISANTLA,CENTRO-MISANTLA,Misantla,Misantla Centro,93820,,Veracruz,"JUAREZ 102 MISANTLA,Misantla,Misantla Centro,,Veracruz,93820",1850,33375,33375,,,VERACRUZ NORTE,266
Pedido 444169,8/4/2026,A04915,TIENDAS LORES,TIENDAS LORES (PUENTE DE JULA),CISAALMA,CARR. FEDERAL XALAPA-VERACRUZ 6,PUENTE DE JULA-PASO DE OVEJAS,Paso de Ovejas,Puente de Jula,91674,,Veracruz,"CARR. FEDERAL XALAPA-VERACRUZ 6,Paso de Ovejas,Puente de Jula,,Veracruz,91674",702,15379,500, ,,XALAPA,101
Pedido 444195,8/4/2026,A04919,MARTHA HUERTA ARROYO (REM),MARTHA HUERTA ARROYO (REM),CISAALMA,AV LAZARO CARDENAS NUM 325 E ZAPATA,AVILA CAMACHO-MPIO XICOTEPEC,Xicotepec,Villa Avila Camacho (La Ceiba),73090,,Puebla,"AV LAZARO CARDENAS NUM 325 E ZAPATA,Xicotepec,Villa Avila Camacho (La Ceiba),,Puebla,73090",380,7920,7920,SE ENTREGA EN AVILA CAMACHO PUEBLA,,VERACRUZ NORTE,172
Pedido 443983,6/4/2026,A04962,SEMILLAS DIAZ DE LEON,SEMILLAS DIAZ DE LEON,MATPRIMA,CALLE LUIS DE LA ROSA OTEIZA 10,EL SITIO-ZACATECAS,Pinos,El Sitio,98970,,Zacatecas,"CALLE LUIS DE LA ROSA OTEIZA 10,Pinos,El Sitio,,Zacatecas,98970",200000,500000,500000,*cte recoge.,,ZACATECAS,154
Pedido 443977,6/4/2026,A05016,PERFIL ECONOMICO TOTAL,PERFIL ECONOMICO TOTAL,CISAALMA,14 EXT 315 INT 5,SAN JOSE-CORDOBA,Córdoba,San José,94560,Córdoba,Veracruz,"14 EXT 315 INT 5,Córdoba,San José,Córdoba,Veracruz,94560",1000,17200,17200,*cte recoge.,,CORDOBA,101
Pedido 444173,8/4/2026,A05024,TIENDAS LORES,TIENDAS LORES SAN ANDRES 3 (SIHUAPAN),CISAALMA,AV INDEPENDENCIA SN,SIHUAPAN CENTRO-SAN ANDRES TUXTLA,San Andrés Tuxtla,Sihuapan Centro,95810,Sihuapan,Veracruz,"AV INDEPENDENCIA SN,San Andrés Tuxtla,Sihuapan Centro,Sihuapan,Veracruz,95810",489,12840,928, ,,LOS TUXTLAS,101
Pedido 444036,7/4/2026,A05030,ONUS COMERCIAL,M308 – CM Tuxtla 5ª Norte,CISAALMA,Avenida 5ª Norte No.524,BARRIO COLON-TUXTLA GUTIERREZ,Tuxtla Gutiérrez,Tuxtla Gutiérrez Centro,29000,Tuxtla Gutiérrez,Chiapas,"Avenida 5ª Norte No.524,Tuxtla Gutiérrez,Tuxtla Gutiérrez Centro,Tuxtla Gutiérrez,Chiapas,29000",328,"10821,9","10821,9",OC CARNE MART 5TA NORTE,TRANSBORDO,,101
Pedido 444212,9/4/2026,A05030,ONUS COMERCIAL,M371 – CM Villahermosa Cd. Industrial,CISAALMA,"Blvd. Industria Nacional Mexicana #202, Indeco Ciudad Industrial",CIUDAD INDUSTRIAL-VILLAHERMOSA,Centro,Villahermosa Centro,86000,Villahermosa,Tabasco,"Blvd. Industria Nacional Mexicana #202, Indeco Ciudad Industrial,Centro,Villahermosa Centro,Villahermosa,Tabasco,86000",163,"5100,76","5100,76",suc.M371 CARNETMART INDUSTRIAL,TRANSBORDO,,101
Pedido 444018,7/4/2026,A05030,ONUS COMERCIAL,M240 – CM Villahermosa Usumacinta,CISAALMA,Paseo Usumacinta No. 111 Col. 1ro de Mayo C.P.86190,1RO DE MAYO-VILLAHERMOSA,Centro,Primero de Mayo,86190,Villahermosa,Tabasco,"Paseo Usumacinta No. 111 Col. 1ro de Mayo C.P.86190,Centro,Primero de Mayo,Villahermosa,Tabasco,86190","599,25","18390,6","18390,6",CARNEMART USUMACINTA,TRANSBORDO,,101
Pedido 443387,20/3/2026,A05030,ONUS COMERCIAL,M214 – CM Minatitlán Lerdo,CISAALMA,Sebastián Lerdo de Tejada 16,CENTRO-MINATITLAN,Minatitlán,Minatitlan Centro,96700,Minatitlán,Veracruz,"Sebastián Lerdo de Tejada 16,Minatitlán,Minatitlan Centro,Minatitlán,Veracruz,96700","182,25",5163,5163,,TRANSBORDO,,226
Pedido 443451,24/3/2026,A05030,ONUS COMERCIAL,CMT Chiapas Tapachula Mercado II,CISAALMA,"10 A, Ave. Norte #12",,,,,,,"10 A, Ave. Norte #12,,,,,",264,"5836,32","5836,32",OC ONUS MERCADO TAPACHULA,TRANSBORDO,,101
Pedido 444174,8/4/2026,A05032,TIENDAS LORES,TIENDAS LORES TEJERIA,CISAALMA,AV 6 NUM 2 LOTE 7,DOS LOMAS-TEJERIA,Veracruz,2 Lomas,91697,,Veracruz,"AV 6 NUM 2 LOTE 7,Veracruz,2 Lomas,,Veracruz,91697","319,96","8031,2",500, ,,VERACRUZ PUERTO,101
Pedido 444012,6/4/2026,A05051,SERVI-DISTRIBUCIONES DE OAXACA,SERVI-DISTRIBUCIONES DE OAXACA,CISAALMA,MISION DE LA SOLEDAD,SAN MARTIN-OAXACA DE JUAREZ,Oaxaca de Juárez,Netzahualcoyotl,68140,Oaxaca de Juárez,Oaxaca,"MISION DE LA SOLEDAD,Oaxaca de Juárez,Netzahualcoyotl,Oaxaca de Juárez,Oaxaca,68140",13220,284760,10850,,,CIUDAD DE MÉXICO,138
Pedido 443348,19/3/2026,A05052,ANGEL JHONATAN ALVARADO RIBON (REM),ANGEL JHONATAN ALVARADO RIBON (REM),CISAALMA,A CANABEL 1RA SECC SN,CENTRO-TABASCO,Centro,Miguel Hidalgo 1a Secc,86103,Villahermosa,Tabasco,"A CANABEL 1RA SECC SN,Centro,Miguel Hidalgo 1a Secc,Villahermosa,Tabasco,86103",40,600,600,,ACORDAR CON LA VENDEDORA PUNTO DE ENTREGA,TABASCO,200
Pedido 444248,9/4/2026,A05107,GERARDO  GALVAN Y HERNANDEZ LA UNION (REM),GERARDO GALVAN Y HDEZ LA UNION(REM),CISAALMA,CALLE BENITO JUAREZ 203,CENTRO-MISANTLA,Misantla,Misantla Centro,93821,,Veracruz,"CALLE BENITO JUAREZ 203,Misantla,Misantla Centro,,Veracruz,93821","2052,8",39002,39002,,,XALAPA,266
Pedido 443730,28/3/2026,B00010,ABARROTES LOO,ABARROTES LOO SA DE CV MATRIZ,CISAALMA,LIBRAMIENTO SUR CALLE MARIO LOPEZ PORTILLO,FRENTE AL FRCC BUENOS AIRES - TAPACHULA,Tapachula,Elektra,30798,Tapachula de Córdova y Ordóñez,Chiapas,"LIBRAMIENTO SUR CALLE MARIO LOPEZ PORTILLO,Tapachula,Elektra,Tapachula de Córdova y Ordóñez,Chiapas,30798",220,"7377,6","7377,6",PROM BTS DE 2 KG,,CHIAPAS  COSTA,131
Pedido 444040,7/4/2026,B00011,ABARROTES MONTERREY,ABARROTES MONTERREY CEDIS,CISAALMA,HELIO S N 2A ETAPA CD INDUSTRIAL,,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"HELIO S N 2A ETAPA CD INDUSTRIAL,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010",27859,718070,718070,,Favor surtir 15 de Abril Cedis,TABASCO,605
Pedido 444041,7/4/2026,B00011,ABARROTES MONTERREY,ABARROTES MONTERREY CEDIS,CISAALMA,HELIO S N 2A ETAPA CD INDUSTRIAL,,Centro,Ciudad Industrial,86010,Villahermosa,Tabasco,"HELIO S N 2A ETAPA CD INDUSTRIAL,Centro,Ciudad Industrial,Villahermosa,Tabasco,86010",2600,64350,64350,,Favor entregar 15 de Abril Cedis,TABASCO,605
Pedido 442775,9/3/2026,B00012,ABARROTES RIKOZA,ABARROTES RIKOZA,CISAALMA,CIRCUITO INTERIOR ORIENTE 13 CG,CENTRAL DE ABASTOS  - PUEBLA,Puebla,Central de Abastos,72019,Puebla (Heroica Puebla),Puebla,"CIRCUITO INTERIOR ORIENTE 13 CG,Puebla,Central de Abastos,Puebla (Heroica Puebla),Puebla,72019",292,"6893,8","6893,8",OC 2455032,,PUEBLA,253
Pedido 443729,28/3/2026,B00041,REGULO FLORES VASQUEZ,FLORES VASQUEZ REGULO (MATRIZ),CISAALMA,CARRTERA VILLA DEL MAR KM 15,AGUA DULCE - ARRIAGA,Arriaga,Arriaga Centro,30450,Arriaga,Chiapas,"CARRTERA VILLA DEL MAR KM 15,Arriaga,Arriaga Centro,Arriaga,Chiapas,30450",66,"2947,56","2947,56",3 PAQ DE PROM,,,131
Pedido 444184,8/4/2026,B00049,JUGOS Y BASICOS DE LA COSTA,JUGOS Y BASICOS DE LA COSTA S.A. DE C.V.,CISAALMA,25A CALLE PONIENTE ENTRE 2A Y AV NORTE S/N,5 DE FEBRERO - TAPACHULA,Tapachula,5 de Febrero,30710,Tapachula de Córdova y Ordóñez,Chiapas,"25A CALLE PONIENTE ENTRE 2A Y AV NORTE S/N,Tapachula,5 de Febrero,Tapachula de Córdova y Ordóñez,Chiapas,30710",30000,626480,626480,*-2% DESC COMERCIAL. Entregar Miercoles15abr., CITA MIERCOLES 15/04/2026,CHIAPAS COSTA,154
Pedido 444050,7/4/2026,B00056,MINI ABASTOS,MINI ABASTOS SA DE CV,CISAALMA,MORELOS,SAMARITANA - STA MARIA ATZOMPA,Santa María Atzompa,Residencial Denali,71222,,Oaxaca,"MORELOS,Santa María Atzompa,Residencial Denali,,Oaxaca,71222",7200,146500,46400,OFC-273076,CEDIS OAXACA,,138
Pedido 443997,6/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA MINA (1174),CISAALMA,BLVD INSTITUTOS TECNOLOGICOS,268242922,Minatitlán,El Triángulo,96734,Minatitlán,Veracruz,"BLVD INSTITUTOS TECNOLOGICOS,Minatitlán,El Triángulo,Minatitlán,Veracruz,96734","1351,077021",34980,34980,OC: 2811745117,RECIBO DE 7:00 A 11:00 AM,EDO MEXICO,226
Pedido 443996,6/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA VIA CAPU (3773),CISAALMA,BLVD NTE H 5 DE MAYO # 2318,268242922,Puebla,San Felipe Hueyotlipan,72030,Puebla (Heroica Puebla),Puebla,"BLVD NTE H 5 DE MAYO # 2318,Puebla,San Felipe Hueyotlipan,Puebla (Heroica Puebla),Puebla,72030","294,2451696","8314,8","8314,8",PEDIDO PUEBLA YO LO ENTREGO,RECIBO DE 7:00 AM A 11:00 AM,EDO MEXICO,101
Pedido 443318,19/3/2026,B00059,NUEVA WAL MART DE MEXICO,MB TEAPA (3049) (BAJA),CISAALMA,BLVD FRANCISCO TRUJILLO GURRIA # 16,268242922,Teapa,Teapa Centro,86800,Teapa,Tabasco,"BLVD FRANCISCO TRUJILLO GURRIA # 16,Teapa,Teapa Centro,Teapa,Tabasco,86800","568,211076",18312,18312,SUC.3049 MI BODEGA AURRERA TEAPA,TRANSBORDO,EDO MEXICO,101
Pedido 443863,31/3/2026,B00059,NUEVA WAL MART DE MEXICO,BA TERAN (4125),CISAALMA,BLVD BELISARIO DOMINGUEZ # 4451,268242922,Tuxtla Gutiérrez,San Cristóbal,29038,Tuxtla Gutiérrez,Chiapas,"BLVD BELISARIO DOMINGUEZ # 4451,Tuxtla Gutiérrez,San Cristóbal,Tuxtla Gutiérrez,Chiapas,29038","946,665645",23667,23667,OC B A TERAN 4125,TRANSBORDO  -- RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444279,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA TUXTLA CENTRO (3917),CISAALMA,AV CENTRAL PONIENTE # 677,268242922,Tuxtla Gutiérrez,Santo Domingo,29000,Tuxtla Gutiérrez,Chiapas,"AV CENTRAL PONIENTE # 677,Tuxtla Gutiérrez,Santo Domingo,Tuxtla Gutiérrez,Chiapas,29000","1119,528987","29191,8","29191,8",OC BA TUXTLA CENTRO,TRANSBORDO  -- RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444275,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA SUMIDERO (3002),CISAALMA,CALZADA AL SUMIDERO # 2330 MZ 75,268242922,Tuxtla Gutiérrez,Misol-ha,29010,Tuxtla Gutiérrez,Chiapas,"CALZADA AL SUMIDERO # 2330 MZ 75,Tuxtla Gutiérrez,Misol-ha,Tuxtla Gutiérrez,Chiapas,29010","2018,43264",54612,54612,OC BA SUMIDERO 3002,TRANSBORDO  -- RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444219,9/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA CIUDAD INDUSTRIAL (1101),CISAALMA,PROL AV UNIVERSIDAD No 634,268242922,Centro,Casa Blanca 2a Sección,86060,Villahermosa,Tabasco,"PROL AV UNIVERSIDAD No 634,Centro,Casa Blanca 2a Sección,Villahermosa,Tabasco,86060","1684,641692",42390,42390,SUC.1101 BODEGA AURRERA CIUDAD INDUSTRIAL,TRANSBORDO,EDO MEXICO,101
Pedido 443953,5/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA 14 ORIENTE (1420),CISAALMA,PROLONGACION 14 ORIENTE # 5219,268242922,Puebla,Agrícola Resurgimiento,72370,Puebla (Heroica Puebla),Puebla,"PROLONGACION 14 ORIENTE # 5219,Puebla,Agrícola Resurgimiento,Puebla (Heroica Puebla),Puebla,72370","264,0039648","6880,8","6880,8",PEDIDO PUEBLA YO LO ENTREGO,RECIBO DE 7:00 AM A 11:00 AM,EDO MEXICO,101
Pedido 443928,1/4/2026,B00059,NUEVA WAL MART DE MEXICO,BA PATRICIO TRUEBA (4075),CISAALMA,AV PATRICIO TRUEBA # 203,268242922,Campeche,Villa Jazmín,24090,San Francisco de Campeche,Campeche,"AV PATRICIO TRUEBA # 203,Campeche,Villa Jazmín,San Francisco de Campeche,Campeche,24090","648,000384",17004,17004,BA PATRICIO TRUEBA 4075 CAMPECHE,RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
Pedido 444281,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,AURRERA CEDIS GUADALAJARA (7493),CISAALMA,CARRETERA AL SANTO No.420,268242922,Tlajomulco de Zúñiga,Los Ciruelos,45679,Tlajomulco de Zúñiga,Jalisco,"CARRETERA AL SANTO No.420,Tlajomulco de Zúñiga,Los Ciruelos,Tlajomulco de Zúñiga,Jalisco,45679","716,8310532","25954,8","25954,8",OC 8938915950 GUADALAJARA (7493),,EDO MEXICO,600
Pedido 443321,19/3/2026,B00059,NUEVA WAL MART DE MEXICO,BA REFORMA TAB (MACUSPANA) (2142),CISAALMA,CALLE REFORMA # S/N,268242922,Macuspana,Nicolás Bravo,86700,,Tabasco,"CALLE REFORMA # S/N,Macuspana,Nicolás Bravo,,Tabasco,86700","1730,134602",45360,45360,SUC.2142 BODEGA AURRERA MACUSPANA,TRANSBORDO,EDO MEXICO,101
Pedido 444300,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,SAMS CEDIS SAMS VILLAHERMOSA (6550),CISAALMA,AV BUTANO No 16 CD INDUSTRIAL,035672640,Centro,Palmitas,86130,Villahermosa,Tabasco,"AV BUTANO No 16 CD INDUSTRIAL,Centro,Palmitas,Villahermosa,Tabasco,86130",3360,85260,85260,OC 8234473659 SAMS VILLAHERMOSA (6550),,EDO MEXICO,101
Pedido 444301,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,SAMS CEDIS SAMS VILLAHERMOSA (6550),CISAALMA,AV BUTANO No 16 CD INDUSTRIAL,035672640,Centro,Palmitas,86130,Villahermosa,Tabasco,"AV BUTANO No 16 CD INDUSTRIAL,Centro,Palmitas,Villahermosa,Tabasco,86130","1535,999999",36096,36096,OC 8234473659 SAMS VILLAHERMOSA,,EDO MEXICO,101
Pedido 444282,10/4/2026,B00059,NUEVA WAL MART DE MEXICO,MB HUIXTLA (4079),CISAALMA,NEGRETE ORIENTE S/N,268242922,Huixtla,Las Hortencias II,30640,Huixtla,Chiapas,"NEGRETE ORIENTE S/N,Huixtla,Las Hortencias II,Huixtla,Chiapas,30640","2441,446452",60954,60954,OC MI BODEGA AURRERA HUIXTLA,TRANSBORDO  -- RECIBO DE 7:00 AM A 11:00 AM,EDO MEXICO,101
Pedido 444019,7/4/2026,B00059,NUEVA WAL MART DE MEXICO,MB BALANCAN (3658),CISAALMA,AV GREGORIA MENDEZ S/N,CENTRO-BALANCAN,Balancán,Balancán Centro,86930,,Tabasco,"AV GREGORIA MENDEZ S/N,Balancán,Balancán Centro,,Tabasco,86930","377,7372666",11820,11820,SUC.3658 MI BODEGA AURRERA CENTRO BALANCAN,TRANSBORDO,EDO MEXICO,101
Pedido 442834,10/3/2026,B00059,NUEVA WAL MART DE MEXICO,SC CAMPECHE (4139),CISAALMA,AV MARIA LAVALLE,SAN FRANCISCO DE CAMPECHE CENTRO - CAMPECHE,Campeche,San Francisco de Campeche Centro,24000,San Francisco de Campeche,Campeche,"AV MARIA LAVALLE,Campeche,San Francisco de Campeche Centro,San Francisco de Campeche,Campeche,24000","486,00972",12300,12300,OC SC CAMPECHE 4139 DIONY RAMAYO,RECIBO DE 7:00 AM A 12:00 PM,EDO MEXICO,101
