Empresa,EmbarqueMov,EmbarqueMovID,FechaEmision,Mes,Año,Vehiculo,Ruta,Peso (KG),Paquetes,Importe,EmbarqueMovMov,EmbarqueMovMovID,Articulo,Cantidad,PesoArticulo,Peso2,Cliente,Direccion,Latitud,Longitud,latLong,EmbarqueMovPeso,Categoria,Dias Viaje,Gasto Total,Valida peso (tn),Tipo,Propio / Perm.,Capacidad,Skill
ABC,Embarque,71456,07/01/2026,1,2026,C-04,YUCATAN,18758.61,20722,564830.71,,FA570378,ABC,60.00048,4.8,288,Central de Abastos Mérida,Av. Jacinto Canek,20.9634,-89.6645,"20.9634,-89.6645",11404.21,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570429,ABC,12,24,288,Distribuidora Tuxtleca,Carr Federal 180,18.455,-95.205,"18.455,-95.205",1250.98,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71465,07/01/2026,1,2026,C-03B,TUXTEPEC - VALLE NACIONAL,14295.86,1322,340865.6,,FA570463,ABC,32,9,288,Súper Sánchez Valle,Av. Principal,17.777,-96.313,"17.777,-96.313",3862.88,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,convoy_10am
ABC,Embarque,71465,07/01/2026,1,2026,C-03B,TUXTEPEC - VALLE NACIONAL,14295.86,1322,340865.6,,FA570463,ABC,32,9,288,Súper Sánchez Valle,Av. Principal,17.777,-96.313,"17.777,-96.313",3862.88,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71462,07/01/2026,1,2026,C-08,TEZONAPA,8303.25,827,200746.7,,FA570421,ABC,32,9,288,Bodega Central Granos,Cerca del Ingenio,18.605,-96.765,"18.605,-96.765",3393.9,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570438,ABC,31,9,279,Bodegas Lores Santiago,Centro Santiago Tuxtla,18.461,-95.302,"18.461,-95.302",1581.9,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71462,07/01/2026,1,2026,C-08,TEZONAPA,8303.25,827,200746.7,,FA570421,ABC,31,9,279,Bodega Central Granos,Cerca del Ingenio,18.605,-96.765,"18.605,-96.765",3393.9,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71460,07/01/2026,1,2026,CAM CRA,COSAMALOAPAN,17734.24,1809,430638.2,,FA570352,ABC,30,9,270,Comercializadora del Sur,Calle Ocampo,18.364,-95.797,"18.364,-95.797",973,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570448,ABC,30,9,270,Tiendas Lores Tuxtepec,Independencia,18.086,-96.124,"18.086,-96.124",1428.5,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570498,ABC,30,9,270,Abarrotera Central Tuxtlas,Galeana,18.448,-95.2135,"18.448,-95.2135",4419,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,convoy_10am
ABC,Embarque,71466,07/01/2026,1,2026,CAM GE2,TIERRA BLANCA,11887.26,1107,290483,,FA570533,ABC,30,9,270,Tiendas Lores Tierra Blanca,Independencia,18.45,-96.35,"18.45,-96.35",2754.8,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71462,07/01/2026,1,2026,C-08,TEZONAPA,8303.25,827,200746.7,,FA570341,ABC,30,9,270,Abarrotes El Crucero,Av. Emiliano Zapata,18.608,-96.768,"18.608,-96.768",560,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,18000,normal
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570447,ABC,11,24,264,Distribuidora Papaloapan,Mancilla,18.087,-96.123,"18.087,-96.123",866.28,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71464,07/01/2026,1,2026,CAM ADA,TUXTEPEC,16714.38,3272,392899.2,,FA570454,ABC,11,24,264,Abarrotes La Esperanza,Col. La Piragua,18.092,-96.118,"18.092,-96.118",795.1,ZONA B,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570429,ABC,29,9,261,Distribuidora Tuxtleca,Carr Federal 180,18.455,-95.205,"18.455,-95.205",1250.98,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71463,07/01/2026,1,2026,CAM JAOH,LOS TUXTLAS,16159.68,1269,370491.7,,FA570438,ABC,29,9,261,Bodegas Lores Santiago,Centro Santiago Tuxtla,18.461,-95.302,"18.461,-95.302",1581.9,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
ABC,Embarque,71466,07/01/2026,1,2026,CAM GE2,TIERRA BLANCA,11887.26,1107,290483,,FA570527,ABC,28,9,252,Mercado 20 de Noviembre,Serdán y Juárez,18.455,-96.345,"18.455,-96.345",3368,ZONA A,#N/A,#N/A,#N/A,#N/A,#N/A,0,normal
